Track1	Track2	x_int	y_int	ls_index_1	z1	d1	ls_index_2	z2	d2
../input_data/group_a/a2093l18.m77t.xyz	../input_data/group_a/83008911.m77t.xyz	43.95115319487565	11.93384817901615	5740	-8.235269392326048	6701572.213931513	271	-24.280830802130573	88198.80573998886
../input_data/group_a/a2093l18.m77t.xyz	../input_data/group_a/83008911.m77t.xyz	43.94818297345891	11.933048610016002	5741	-8.028666999408214	6701907.685267196	449	-17.34455695111202	115310.50263420024
../input_data/group_a/cd2087.m77t.xyz	../input_data/group_a/83008911.m77t.xyz	63.411219369589624	10.52035170818732	4165	-16.0	2495723.7560262727	7906	-25.89224698787803	2677938.3505455456
../input_data/group_a/cd2087.m77t.xyz	../input_data/group_a/a2093l18.m77t.xyz	60.341925713022945	22.16675156466394	16267	-12.0	9946879.799559167	4432	-19.78268585589365	4513947.915370406
../input_data/group_a/cd2387.m77t.xyz	../input_data/group_a/a2093l10.m77t.xyz	62.61184098946241	-26.93954452955886	17806	43.0	9817378.814092802	3428	36.58664079388449	5166429.788276894
../input_data/group_a/ch043l02.m77t.xyz	../input_data/group_a/83008911.m77t.xyz	48.99807580577996	12.135945195302739	136	-13.654448305364575	287169.5679309645	2209	-30.0	697825.2819318371
../input_data/group_a/ch043l02.m77t.xyz	../input_data/group_a/83008911.m77t.xyz	43.95992220504895	11.860087918598659	4544	28.971141297664154	13124188.12668565	245	4.879369987777698	79933.56009588577
../input_data/group_a/ch043l02.m77t.xyz	../input_data/group_a/83008911.m77t.xyz	43.949286335243556	11.87351600343839	4545	32.0470468684402	13126079.1699188	468	6.580871077483621	121938.36481520541
../input_data/group_a/ch043l02.m77t.xyz	../input_data/group_a/83008911.m77t.xyz	44.05484712279878	11.73894165340215	4539	11.686591188748254	13107193.852185948	544	-10.363910986924118	147265.4466337386
../input_data/group_a/ch043l02.m77t.xyz	../input_data/group_a/a2093l18.m77t.xyz	43.909680404692345	11.92277554257224	4548	35.281808501380574	13133055.566375509	5743	-2.7122566943073023	6706253.741835357
../input_data/group_a/ch043l02.m77t.xyz	../input_data/group_a/cd2087.m77t.xyz	51.82732661025564	0.8506717468023446	1309	-10.20531724973825	2438316.4732994223	1226	-12.683361020047187	724196.4035747445
../input_data/group_a/ch043l02.m77t.xyz	../input_data/group_a/cd2087.m77t.xyz	58.27603765854088	4.5488151561778665	4154	-58.838516780142534	11096678.142037485	2649	2.0	1551249.1597774986
../input_data/group_a/ch043l02.m77t.xyz	../input_data/group_a/cd2387.m77t.xyz	61.70208083360866	-8.996949351290873	2520	-11.223861235112611	4946565.700271761	473	-0.4939168489397133	307004.9474624171
../input_data/group_a/ch043l02.m77t.xyz	../input_data/group_a/cd2387.m77t.xyz	59.93905647606652	-7.389077656551699	3319	3.074073833906338	8223101.6143821385	67	-12.383380447414172	42847.6048892186
../input_data/group_a/ch099l05.m77t.xyz	../input_data/group_a/a2093l10.m77t.xyz	56.10540121405751	-23.204048044728435	1650	34.687573036335905	2369297.611349081	2279	21.267071369241208	3502937.1111406325
../input_data/group_a/ch099l05.m77t.xyz	../input_data/group_a/a2093l10.m77t.xyz	59.75781048957455	-23.184138711545028	1942	5.350969645774922	2745266.0344232647	3824	-9.729831274780418	5751703.808982847
../input_data/group_a/ch099l05.m77t.xyz	../input_data/group_a/cd2387.m77t.xyz	66.76680899848795	-15.04907380703554	2760	36.48122345199607	4301175.944223535	2127	32.91138897811751	1326422.0925738113
../input_data/group_a/ch099l05.m77t.xyz	../input_data/group_a/cd2387.m77t.xyz	66.5043212279226	-17.355422764247635	2653	37.56875643050331	4042816.732016869	2616	44.44933853714982	1638602.0687756531
../input_data/group_a/ch099l05.m77t.xyz	../input_data/group_a/cd2387.m77t.xyz	66.46049619675458	-17.605735282707826	2643	23.643128861946025	4014570.5646632286	2661	14.0	1668969.5256685335
../input_data/group_a/ch099l05.m77t.xyz	../input_data/group_a/cd2387.m77t.xyz	66.02838922185148	-12.561924640715297	2864	-58.92908591080052	4655700.4552637795	1452	-33.974880335490894	925544.4996286315
../input_data/group_a/ch099l07.m77t.xyz	../input_data/group_a/cd2087.m77t.xyz	60.760844288589965	5.9929776361632126	780	55.18049808625774	1301074.9593192174	3177	44.14816955322702	1870355.5409501323
../input_data/group_a/ch099l07.m77t.xyz	../input_data/group_a/cd2087.m77t.xyz	60.87213578154949	6.053739586099255	787	-22.936723306870153	1317104.6431802963	3202	-33.75468847271107	1884410.9083612578
../input_data/group_a/ch099l07.m77t.xyz	../input_data/group_a/ch043l02.m77t.xyz	55.55591578967841	7.88462447657853	205	13.970560998573871	248276.65628310127	4196	-25.303610928043987	11575368.96466135
../input_data/group_a/ch099l07.m77t.xyz	../input_data/group_a/ch043l02.m77t.xyz	54.38360368711652	8.014512410570651	301	-29.727572951625696	379449.6296978534	558	-36.131654410057294	1142026.67925626
../input_data/group_a/ch099l07.m77t.xyz	../input_data/group_a/ch043l02.m77t.xyz	54.33485233478873	7.543323347887213	401	-42.24735342062146	554224.0024219616	602	-54.90737152602229	1194760.7690217616
../input_data/group_a/ch099l07.m77t.xyz	../input_data/group_a/ch043l02.m77t.xyz	56.3790646482594	6.756115040514894	523	11.098875592519203	796781.953609383	4169	-20.208459434608507	11420321.19294759
../input_data/group_a/ch099l07.m77t.xyz	../input_data/group_a/ch043l02.m77t.xyz	57.88754910409193	4.988550029425521	1388	27.50751493873835	2503341.2974069086	4161	-40.60912463612423	11161911.534028564
